Ticker,JD,LULU,NFLX,REGN,RHHBY,UNH
<<<<<<< HEAD
JD,1.0,0.16819432069039592,0.11307339274063037,0.10944540684408142,0.11486915239466014,0.10549223127306628
LULU,0.16819432069039592,1.0,0.19331514448377343,0.17593761988780218,0.1041515101987641,0.010571604344056625
NFLX,0.11307339274063037,0.19331514448377343,1.0,0.025673285592809812,0.05949710290644739,-0.040439612414956486
REGN,0.10944540684408142,0.17593761988780218,0.025673285592809812,1.0,0.21204446064625937,0.04929258688069374
RHHBY,0.11486915239466014,0.1041515101987641,0.05949710290644739,0.21204446064625937,1.0,0.15185551624927854
UNH,0.10549223127306628,0.010571604344056625,-0.040439612414956486,0.04929258688069374,0.15185551624927854,1.0
=======
JD,1.0,0.16819432069039592,0.11307340811640326,0.109445295112283,0.1148692701454709,0.10549216940560094
LULU,0.16819432069039592,1.0,0.19331519568890523,0.17593764292673134,0.10415154928401435,0.010571482988388087
NFLX,0.11307340811640326,0.19331519568890523,1.0,0.025673202022020232,0.05949697208767654,-0.04043971869358789
REGN,0.109445295112283,0.17593764292673134,0.025673202022020232,1.0,0.21204434671805672,0.04929277186089252
RHHBY,0.1148692701454709,0.10415154928401435,0.05949697208767654,0.21204434671805672,1.0,0.15185551040005324
UNH,0.10549216940560094,0.010571482988388087,-0.04043971869358789,0.04929277186089252,0.15185551040005324,1.0
>>>>>>> 235c8918d8f63586ede0d35ba0af459a345938e8
